cid,cmpdname,CanonicalSMILES,activity
2136935,"3-(4-fluorophenyl)-7,8-dimethoxy-5-[(4-methoxyphenyl)methyl]pyrazolo[4,3-c]quinoline",COC1=CC=C(C=C1)CN2C=C3C(=NN=C3C4=CC(=C(C=C42)OC)OC)C5=CC=C(C=C5)F,Active
2136907,"3-(4-fluorophenyl)-7,8-dimethoxy-5-[(4-methylphenyl)methyl]pyrazolo[4,3-c]quinoline",CC1=CC=C(C=C1)CN2C=C3C(=NN=C3C4=CC(=C(C=C42)OC)OC)C5=CC=C(C=C5)F,Active
2862265,"5-acetyl-6-methyl-2-[2-oxo-2-(4-phenylphenyl)ethyl]sulfanyl-4-pyridin-3-yl-1,4-dihydropyridine-3-carbonitrile",CC1=C(C(C(=C(N1)SCC(=O)C2=CC=C(C=C2)C3=CC=CC=C3)C#N)C4=CN=CC=C4)C(=O)C,Active
6371672,"(2Z,6E)-4-methyl-2,6-bis[(1-methylpyrrol-2-yl)methylidene]cyclohexan-1-one",CC1CC(=CC2=CC=CN2C)C(=O)C(=CC3=CC=CN3C)C1,Active
6157225,"(2E,6E)-2,6-bis[(1-methylpyrrol-2-yl)methylidene]cyclohexan-1-one",CN1C=CC=C1C=C2CCCC(=CC3=CC=CN3C)C2=O,Active
875407,"5-(3-methylphenanthro[9,10-d]imidazol-2-yl)thiophene-2-carbaldehyde",CN1C2=C(C3=CC=CC=C3C4=CC=CC=C42)N=C1C5=CC=C(S5)C=O,Active
5336330,ethyl (Z)-2-(4-acetyl-5-anilinothiophene-2-carbonyl)-3-pyridin-3-ylprop-2-enoate,CCOC(=O)C(=CC1=CN=CC=C1)C(=O)C2=CC(=C(S2)NC3=CC=CC=C3)C(=O)C,Active
1316236,"6-(4-methylphenyl)-2-methylsulfonyl-4-phenylthieno[2,3-b]pyridin-3-amine",CC1=CC=C(C=C1)C2=NC3=C(C(=C2)C4=CC=CC=C4)C(=C(S3)S(=O)(=O)C)N,Active
2036162,"1-butyl-3-phenylpyrazolo[4,3-b]quinoxaline",CCCCN1C2=NC3=CC=CC=C3N=C2C(=N1)C4=CC=CC=C4,Active
3449225,"4-[15-methyl-9-(3-methylanilino)-13-phenyl-1,8,11,13,14-pentazatetracyclo[8.7.0.02,7.012,16]heptadeca-2,4,6,8,10,12(16),14-heptaen-17-yl]benzene-1,2-diol",CC1=CC(=CC=C1)NC2=NC3=CC=CC=C3N4C2=NC5=C(C4C6=CC(=C(C=C6)O)O)C(=NN5C7=CC=CC=C7)C,Active
